cat_id,elo_difficulty,round_accuracy,n_resp
6,-0.790519317728569,0.7161182375906302,26895
17,-0.2025349752150589,0.5872455453191372,18127
2,-0.37147598032695855,0.5946596746575342,18688
18,0.048411003633654484,0.5535714285714286,16632
15,-0.7167283149618859,0.8484848484848485,33
3,-0.23119525428494975,0.5830615409292627,18703
16,-1.4573751372270982,0.8008568772482924,24741
12,-0.1321329147000347,0.5528239202657808,21070
10,-0.9787238735681337,0.7279103010810328,22386
7,-0.5850460862925997,0.6767424267342038,30403
1,-0.06697939330498638,0.5648783205096961,28723
13,-0.019573123780553946,0.5337458462243612,17454
5,-0.05509000699660943,0.5439355691789879,16638
9,-0.01919470819708921,0.5470638160287759,24743
4,-0.35677771100446776,0.7118055555555556,288
8,-0.131384777391875,0.5689220116190364,17041
14,0.4501182150731213,0.4306260575296108,8274
11,0.3572971990570359,0.47604175961452666,11207
